Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,url
490,Dino 101: Dinosaur Paleobiology,University of Alberta,COURSE,4.5,Beginner,35k,https://www.coursera.org/
697,Discrete Optimization,The University of Melbourne,COURSE,4.9,Intermediate,40k,https://www.coursera.org/
675,Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Tecnológico de Monterrey,SPECIALIZATION,4.6,Beginner,4k,https://www.coursera.org/
711,Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,COURSE,4.9,Beginner,21k,https://www.coursera.org/
378,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,COURSE,4.8,Intermediate,130k,https://www.coursera.org/
392,Dog Emotion and Cognition,Duke University,COURSE,4.6,Mixed,150k,https://www.coursera.org/
624,Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,COURSE,4.8,Beginner,5.6k,https://www.coursera.org/
487,Drug Commercialization,University of California San Diego,COURSE,4.7,Beginner,17k,https://www.coursera.org/
342,Drug Discovery,University of California San Diego,COURSE,4.6,Beginner,39k,https://www.coursera.org/
166,Dynamic Public Speaking,University of Washington,SPECIALIZATION,4.7,Beginner,110k,https://www.coursera.org/
832,EMT Foundations,University of Colorado System,COURSE,4.8,Beginner,7.1k,https://www.coursera.org/
494,Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,COURSE,4.8,Intermediate,18k,https://www.coursera.org/
641,Econometrics: Methods and Applications,Erasmus University Rotterdam,COURSE,4.7,Mixed,110k,https://www.coursera.org/
229,Economics of Money and Banking,Columbia University,COURSE,4.9,Mixed,83k,https://www.coursera.org/
707,Ecosystem Services: a Method for Sustainable Development,University of Geneva,COURSE,4.7,Intermediate,16k,https://www.coursera.org/
773,Effective Compliance Programs,University of Pennsylvania,COURSE,4.9,Mixed,3.4k,https://www.coursera.org/
636,Egiptología (Egyptology),Universitat Autònoma de Barcelona,COURSE,4.9,Beginner,46k,https://www.coursera.org/
